School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Pace,ORtg,DRtg,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA
Alabama,29,21,8,0.724,24.61,14.82,7,8,69.2,102.0,87.9,0.276,0.397,0.542,0.513,18.4,31.3,0.2
Arkansas,30,11,19,0.367,6.96,12.86,0,15,76.8,91.6,99.2,0.293,0.368,0.482,0.441,18.6,31.7,0.216
Auburn,29,14,15,0.483,12.2,14.61,3,12,69.1,86.5,90.0,0.279,0.291,0.47,0.432,20.1,29.2,0.199
Florida,30,17,13,0.567,19.59,12.05,5,10,73.6,100.0,89.7,0.354,0.311,0.531,0.496,19.6,34.9,0.248
Georgia,29,21,8,0.724,23.93,10.93,7,8,71.7,102.5,84.5,0.296,0.328,0.538,0.507,17.3,30.6,0.214
Kentucky,29,21,8,0.724,30.91,14.01,8,7,69.8,109.0,84.8,0.266,0.423,0.54,0.515,15.1,35.7,0.185
LSU,29,25,4,0.862,46.96,11.13,11,4,78.2,121.8,76.0,0.343,0.208,0.579,0.546,15.1,48.8,0.253
Mississippi State,29,18,11,0.621,20.38,11.2,5,10,73.4,102.8,90.3,0.3,0.294,0.528,0.494,17.9,37.7,0.219
Missouri,30,16,14,0.533,10.8,14.47,4,11,73.7,98.7,103.7,0.328,0.429,0.557,0.515,20.0,24.1,0.257
Oklahoma,28,22,6,0.786,35.95,14.99,10,5,80.7,107.1,81.4,0.283,0.316,0.534,0.502,16.5,39.3,0.207
Ole Miss,30,21,9,0.7,28.63,13.47,8,7,71.7,105.4,84.3,0.37,0.283,0.516,0.471,16.0,40.4,0.271
South Carolina,30,28,2,0.933,48.31,16.71,14,1,73.9,118.6,76.1,0.316,0.253,0.587,0.559,14.7,40.4,0.231
Tennessee,27,16,11,0.593,28.73,19.8,8,7,75.9,101.5,89.8,0.263,0.457,0.507,0.483,16.9,37.1,0.174
Texas,30,27,3,0.9,46.37,16.41,12,3,73.7,116.3,75.7,0.302,0.193,0.559,0.531,13.5,41.0,0.217
Texas A&M,24,13,11,0.542,15.49,18.16,6,9,73.4,89.5,93.1,0.344,0.319,0.474,0.435,19.9,33.1,0.233
Vanderbilt,29,26,3,0.897,34.62,14.1,12,3,73.4,115.6,87.6,0.275,0.406,0.575,0.544,15.0,37.0,0.211
